Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Tom,Lukiwski,Moose Jaw—Lake Centre—Lanigan,Saskatchewan,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Lawrence,MacAulay,Cardigan,Prince Edward Island,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Alistair,MacGregor,Cowichan—Malahat—Langford,British Columbia,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Dave,MacKenzie,Oxford,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Steven,MacKinnon,Gatineau,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Larry,Maguire,Brandon—Souris,Manitoba,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Sheila,Malcolmson,Nanaimo—Ladysmith,British Columbia,NDP,2015-10-19 12:00:00 AM,2019-01-02 8:58:48 AM
,James,Maloney,Etobicoke—Lakeshore,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Paul,Manly,Nanaimo—Ladysmith,British Columbia,Green Party,2019-05-06 12:00:00 AM,2019-10-20 11:59:59 PM
,Simon,Marcil,Mirabel,Quebec,Bloc Québécois,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Richard,Martel,Chicoutimi—Le Fjord,Quebec,Conservative,2018-06-18 12:00:00 AM,2019-10-20 11:59:59 PM
,Brian,Masse,Windsor West,Ontario,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Rémi,Massé,Avignon—La Mitis—Matane—Matapédia,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Irene,Mathyssen,London—Fanshawe,Ontario,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Bryan,May,Cambridge,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Elizabeth,May,Saanich—Gulf Islands,British Columbia,Green Party,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,John,McCallum,Markham—Thornhill,Ontario,Liberal,2015-10-19 12:00:00 AM,2017-02-01 11:59:00 PM
,Kelly,McCauley,Edmonton West,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Phil,McColeman,Brantford—Brant,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Karen,McCrimmon,Kanata—Carleton,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Ken,McDonald,Avalon,Newfoundland and Labrador,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,David,McGuinty,Ottawa South,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,John,McKay,Scarborough—Guildwood,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Catherine,McKenna,Ottawa Centre,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Ron,McKinnon,Coquitlam—Port Coquitlam,British Columbia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Cathy,McLeod,Kamloops—Thompson—Cariboo,British Columbia,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Michael,McLeod,Northwest Territories,Northwest Territories,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Alexandra,Mendès,Brossard—Saint-Lambert,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Marco,Mendicino,Eglinton—Lawrence,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,MaryAnn,Mihychuk,Kildonan—St. Paul,Manitoba,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Larry,Miller,Bruce—Grey—Owen Sound,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Marc,Miller,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Maryam,Monsef,Peterborough—Kawartha,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Christine,Moore,Abitibi—Témiscamingue,Quebec,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Bill,Morneau,Toronto Centre,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Robert,Morrissey,Egmont,Prince Edward Island,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Glen,Motz,Medicine Hat—Cardston—Warner,Alberta,Conservative,2016-10-24 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Thomas,Mulcair,Outremont,Quebec,NDP,2015-10-19 12:00:00 AM,2018-08-03 11:59:59 PM
Hon.,Joyce,Murray,Vancouver Quadra,British Columbia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Pierre,Nantel,Longueuil—Saint-Hubert,Quebec,Independent,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Eva,Nassif,Vimy,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,John,Nater,Perth—Wellington,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Robert,Nault,Kenora,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Mary,Ng,Markham—Thornhill,Ontario,Liberal,2017-04-03 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Rob,Nicholson,Niagara Falls,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Alexander,Nuttall,Barrie—Springwater—Oro-Medonte,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Deepak,Obhrai,Calgary Forest Lawn,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-08-02 11:59:59 PM
,Jennifer,O'Connell,Pickering—Uxbridge,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Robert,Oliphant,Don Valley West,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,John,Oliver,Oakville,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Seamus,O'Regan,St. John's South—Mount Pearl,Newfoundland and Labrador,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Erin,O'Toole,Durham,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Robert-Falcon,Ouellette,Winnipeg Centre,Manitoba,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Denis,Paradis,Brome—Missisquoi,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Pierre,Paul-Hus,Charlesbourg—Haute-Saint-Charles,Quebec,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Monique,Pauzé,Repentigny,Quebec,Bloc Québécois,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Joe,Peschisolido,Steveston—Richmond East,British Columbia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Kyle,Peterson,Newmarket—Aurora,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Ginette,Petitpas Taylor,Moncton—Riverview—Dieppe,New Brunswick,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Jane,Philpott,Markham—Stouffville,Ontario,Independent,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Michel,Picard,Montarville,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Louis,Plamondon,Bécancour—Nicolet—Saurel,Quebec,Bloc Québécois,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Pierre,Poilievre,Carleton,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Jean-Claude,Poissant,La Prairie,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Anne Minh-Thu,Quach,Salaberry—Suroît,Quebec,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Carla,Qualtrough,Delta,British Columbia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Lisa,Raitt,Milton,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Tracey,Ramsey,Essex,Ontario,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Murray,Rankin,Victoria,British Columbia,NDP,2015-10-19 12:00:00 AM,2019-08-31 11:59:59 PM
,Yasmin,Ratansi,Don Valley East,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Alain,Rayes,Richmond—Arthabaska,Quebec,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Geoff,Regan,Halifax West,Nova Scotia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Scott,Reid,Lanark—Frontenac—Kingston,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Michelle,Rempel,Calgary Nose Hill,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Blake,Richards,Banff—Airdrie,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Jean,Rioux,Saint-Jean,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Gerry,Ritz,Battlefords—Lloydminster,Saskatchewan,Conservative,2015-10-19 12:00:00 AM,2017-10-02 11:59:59 PM
,Yves,Robillard,Marc-Aurèle-Fortin,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Pablo,Rodriguez,Honoré-Mercier,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Churence,Rogers,Bonavista—Burin—Trinity,Newfoundland and Labrador,Liberal,2017-12-11 12:00:00 AM,2019-10-20 11:59:59 PM
,Sherry,Romanado,Longueuil—Charles-LeMoyne,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Anthony,Rota,Nipissing—Timiskaming,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Kim,Rudd,Northumberland—Peterborough South,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Dan,Ruimy,Pitt Meadows—Maple Ridge,British Columbia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Don,Rusnak,Thunder Bay—Rainy River,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Romeo,Saganash,Abitibi—Baie-James—Nunavik—Eeyou,Quebec,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Ruby,Sahota,Brampton North,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Raj,Saini,Kitchener Centre,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Harjit S.,Sajjan,Vancouver South,British Columbia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Darrell,Samson,Sackville—Preston—Chezzetcook,Nova Scotia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Ramesh,Sangha,Brampton Centre,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Brigitte,Sansoucy,Saint-Hyacinthe—Bagot,Quebec,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Randeep,Sarai,Surrey Centre,British Columbia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Bob,Saroya,Markham—Unionville,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Francis,Scarpaleggia,Lac-Saint-Louis,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Andrew,Scheer,Regina—Qu'Appelle,Saskatchewan,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Peter,Schiefke,Vaudreuil—Soulanges,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Jamie,Schmale,Haliburton—Kawartha Lakes—Brock,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Deb,Schulte,King—Vaughan,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Marc,Serré,Nickel Belt,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Judy A.,Sgro,Humber River—Black Creek,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Brenda,Shanahan,Châteauguay—Lacolle,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Terry,Sheehan,Sault Ste. Marie,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Martin,Shields,Bow River,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Bev,Shipley,Lambton—Kent—Middlesex,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Jati,Sidhu,Mission—Matsqui—Fraser Canyon,British Columbia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Sonia,Sidhu,Brampton South,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Gagan,Sikand,Mississauga—Streetsville,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Scott,Simms,Coast of Bays—Central—Notre Dame,Newfoundland and Labrador,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Jagmeet,Singh,Burnaby South,British Columbia,NDP,2019-02-25 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Amarjeet,Sohi,Edmonton Mill Woods,Alberta,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Robert,Sopuck,Dauphin—Swan River—Neepawa,Manitoba,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Francesco,Sorbara,Vaughan—Woodbridge,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Kevin,Sorenson,Battle River—Crowfoot,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Sven,Spengemann,Mississauga—Lakeshore,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Bruce,Stanton,Simcoe North,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Gabriel,Ste-Marie,Joliette,Quebec,Bloc Québécois,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Wayne,Stetski,Kootenay—Columbia,British Columbia,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Kennedy,Stewart,Burnaby South,British Columbia,NDP,2015-10-19 12:00:00 AM,2018-09-14 11:59:59 PM
,Mark,Strahl,Chilliwack—Hope,British Columbia,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Shannon,Stubbs,Lakeland,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,David,Sweet,Flamborough—Glanbrook,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Marwan,Tabbara,Kitchener South—Hespeler,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Geng,Tan,Don Valley North,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Filomena,Tassi,Hamilton West—Ancaster—Dundas,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Luc,Thériault,Montcalm,Quebec,Bloc Québécois,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Rachael,Thomas,Lethbridge,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,David,Tilson,Dufferin—Caledon,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Hunter,Tootoo,Nunavut,Nunavut,Independent,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Brad,Trost,Saskatoon—University,Saskatchewan,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Right Hon.,Justin,Trudeau,Papineau,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Karine,Trudel,Jonquière,Quebec,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Dave,Van Kesteren,Chatham-Kent—Leamington,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Peter,Van Loan,York—Simcoe,Ontario,Conservative,2015-10-19 12:00:00 AM,2018-09-30 12:00:00 AM
,Dan,Vandal,Saint Boniface—Saint Vital,Manitoba,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Anita,Vandenbeld,Ottawa West—Nepean,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Adam,Vaughan,Spadina—Fort York,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Karen,Vecchio,Elgin—Middlesex—London,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Arnold,Viersen,Peace River—Westlock,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Arif,Virani,Parkdale—High Park,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Cathay,Wagantall,Yorkton—Melville,Saskatchewan,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Mark,Warawa,Langley—Aldergrove,British Columbia,Conservative,2015-10-19 12:00:00 AM,2019-06-20 11:59:59 PM
,Chris,Warkentin,Grande Prairie—Mackenzie,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Dianne L.,Watts,South Surrey—White Rock,British Columbia,Conservative,2015-10-19 12:00:00 AM,2017-09-29 11:59:59 PM
,Kevin,Waugh,Saskatoon—Grasswood,Saskatchewan,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Len,Webber,Calgary Confederation,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Erin,Weir,Regina—Lewvan,Saskatchewan,Co-operative Commonwealth Federation,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Nick,Whalen,St. John's East,Newfoundland and Labrador,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Jonathan,Wilkinson,North Vancouver,British Columbia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Jody,Wilson-Raybould,Vancouver Granville,British Columbia,Independent,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Alice,Wong,Richmond Centre,British Columbia,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Borys,Wrzesnewskyj,Etobicoke Centre,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Jean,Yip,Scarborough—Agincourt,Ontario,Liberal,2017-12-11 12:00:00 AM,2019-10-20 11:59:59 PM
,Kate,Young,London West,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,David,Yurdiga,Fort McMurray—Cold Lake,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Salma,Zahid,Scarborough Centre,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Bob,Zimmer,Prince George—Peace River—Northern Rockies,British Columbia,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
