Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Alexandre,Boulerice,Rosemont—La Petite-Patrie,Quebec,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Marjolaine,Boutin-Sweet,Hochelaga,Quebec,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,John,Brassard,Barrie—Innisfil,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Bob,Bratina,Hamilton East—Stoney Creek,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Pierre,Breton,Shefford,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Scott,Brison,Kings—Hants,Nova Scotia,Liberal,2015-10-19 12:00:00 AM,2019-02-10 11:59:59 PM
,Ruth Ellen,Brosseau,Berthier—Maskinongé,Quebec,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Gordon,Brown,Leeds—Grenville—Thousand Islands and Rideau Lakes,Ontario,Conservative,2015-10-19 12:00:00 AM,2018-05-02 11:59:00 PM
,Celina,Caesar-Chavannes,Whitby,Ontario,Independent,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Blaine,Calkins,Red Deer—Lacombe,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Richard,Cannings,South Okanagan—West Kootenay,British Columbia,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Guy,Caron,Rimouski-Neigette—Témiscouata—Les Basques,Quebec,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Jim,Carr,Winnipeg South Centre,Manitoba,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Colin,Carrie,Oshawa,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Bill,Casey,Cumberland—Colchester,Nova Scotia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Sean,Casey,Charlottetown,Prince Edward Island,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Bardish,Chagger,Waterloo,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,François-Philippe,Champagne,Saint-Maurice—Champlain,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Arnold,Chan,Scarborough—Agincourt,Ontario,Liberal,2015-10-19 12:00:00 AM,2017-09-14 12:00:00 PM
,Shaun,Chen,Scarborough North,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Michael,Chong,Wellington—Halton Hills,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,François,Choquette,Drummond,Quebec,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,David,Christopherson,Hamilton Centre,Ontario,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Alupa,Clarke,Beauport—Limoilou,Quebec,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Tony,Clement,Parry Sound—Muskoka,Ontario,Independent,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Michael,Cooper,St. Albert—Edmonton,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Serge,Cormier,Acadie—Bathurst,New Brunswick,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Nathan,Cullen,Skeena—Bulkley Valley,British Columbia,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Rodger,Cuzner,Cape Breton—Canso,Nova Scotia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Julie,Dabrusin,Toronto—Danforth,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Pam,Damoff,Oakville North—Burlington,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Scot,Davidson,York—Simcoe,Ontario,Conservative,2019-02-25 12:00:00 AM,2019-10-20 11:59:59 PM
,Don,Davies,Vancouver Kingsway,British Columbia,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Matt,DeCourcey,Fredericton,New Brunswick,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Gérard,Deltell,Louis-Saint-Laurent,Quebec,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Sukh,Dhaliwal,Surrey—Newton,British Columbia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Anju,Dhillon,Dorval—Lachine—LaSalle,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Nicola,Di Iorio,Saint-Léonard—Saint-Michel,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-01-29 11:59:59 PM
Hon.,Stéphane,Dion,Saint-Laurent,Quebec,Liberal,2015-10-19 12:00:00 AM,2017-02-06 11:59:59 PM
,Kerry,Diotte,Edmonton Griesbach,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Todd,Doherty,Cariboo—Prince George,British Columbia,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Fin,Donnelly,Port Moody—Coquitlam,British Columbia,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Earl,Dreeshen,Red Deer—Mountain View,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Francis,Drouin,Glengarry—Prescott—Russell,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Matthew,Dubé,Beloeil—Chambly,Quebec,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Emmanuel,Dubourg,Bourassa,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Jean-Yves,Duclos,Québec,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Terry,Duguid,Winnipeg South,Manitoba,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Kirsty,Duncan,Etobicoke North,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Linda,Duncan,Edmonton Strathcona,Alberta,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
